Survey_ID,Customer_ID,Model,Quality_Score,Service_Score,Price_Satisfaction,Overall_Satisfaction,Would_Recommend,Survey_Date
5001,10249,BMW 330i,5,8,2,3,Yes,2024-07-08
5002,10138,BMW X3,9,7,1,4,No,2024-06-14
5003,10790,BMW 330i,6,5,3,2,Yes,2024-03-13
5004,10115,BMW 530i,1,2,3,2,No,2024-12-03
5005,10813,BMW M440i,6,3,7,3,Yes,2024-08-14
5006,10663,BMW X3,4,8,2,8,Yes,2024-11-28
5007,10040,BMW X7,10,1,7,1,Yes,2024-01-24
5008,10258,BMW 530i,3,1,5,5,No,2024-02-22
5009,10814,BMW X5,9,6,6,3,Yes,2024-08-21
5010,10375,BMW 530i,2,5,3,5,Yes,2024-07-20
5011,10785,BMW X3,10,5,2,2,Yes,2024-05-21
5012,10136,BMW 330i,3,2,4,1,Yes,2024-12-06
5013,10810,BMW 320i,4,6,4,7,No,2024-09-19
5014,10150,BMW 320i,2,10,8,8,Yes,2024-10-28
5015,10123,BMW X3,6,6,5,1,Yes,2024-04-12
5016,10856,BMW 330i,3,4,5,3,Yes,2024-05-31
5017,10056,BMW X7,2,6,4,9,No,2024-03-06
5018,10264,BMW 320i,6,10,1,2,Yes,2024-05-12
5019,10874,BMW 330i,2,10,5,5,Yes,2024-05-10
5020,10069,BMW 320i,10,1,8,1,Yes,2024-06-08
5021,10582,BMW 320i,8,5,7,7,Yes,2024-09-02
5022,10283,BMW i7,9,2,7,2,No,2024-08-29
5023,10522,BMW X7,2,1,7,3,No,2024-10-28
5024,10061,BMW X3,6,5,4,9,No,2024-02-07
5025,10871,BMW i7,8,9,10,3,No,2024-02-24
5026,10567,BMW 320i,8,4,5,6,Yes,2024-11-09
5027,10293,BMW 320i,3,3,1,7,Yes,2024-04-28
5028,10692,BMW 320i,7,5,7,9,No,2024-05-13
5029,10689,BMW X7,1,4,8,5,Yes,2024-05-07
5030,10557,BMW 330i,8,8,1,5,No,2024-09-01
5031,10872,BMW 320i,7,7,9,2,Yes,2024-11-02
5032,10628,BMW 320i,7,10,3,3,Yes,2024-02-25
5033,10073,BMW 330i,2,10,10,1,No,2024-02-07
5034,10702,BMW M440i,9,6,2,1,No,2024-07-02
5035,10067,BMW 320i,8,1,8,1,Yes,2024-02-10
5036,10908,BMW X5,9,3,4,5,No,2024-12-10
5037,10349,BMW 530i,4,6,1,2,No,2024-10-18
5038,10074,BMW M440i,4,9,9,4,Yes,2024-05-06
5039,10824,BMW X7,1,7,1,3,No,2024-11-08
5040,10195,BMW 320i,1,7,5,1,No,2024-10-04
5041,10990,BMW X7,4,7,7,9,No,2024-07-27
5042,10501,BMW M440i,10,3,7,4,No,2024-04-02
5043,10460,BMW 320i,1,10,2,2,Yes,2024-10-04
5044,10598,BMW 330i,10,9,5,4,Yes,2024-04-16
5045,10390,BMW i7,1,7,8,9,Yes,2024-08-02
5046,10368,BMW 530i,2,3,4,4,No,2024-06-15
5047,10748,BMW X3,10,6,9,6,No,2024-04-08
5048,10241,BMW 530i,10,10,5,10,No,2024-03-07
5049,10888,BMW 330i,1,2,3,3,No,2024-12-09
5050,10453,BMW i7,6,2,4,9,No,2024-11-19
5051,10773,BMW X5,10,8,6,10,Yes,2024-10-28
5052,10542,BMW X7,5,5,3,7,Yes,2024-03-14
5053,10005,BMW M440i,2,9,8,5,No,2024-10-04
5054,10840,BMW M440i,8,4,3,7,No,2024-09-10
5055,10949,BMW X5,7,1,4,2,No,2024-12-18
5056,10391,BMW 530i,1,8,7,2,Yes,2024-01-19
5057,10031,BMW X5,9,8,5,7,Yes,2024-06-09
5058,10255,BMW 530i,2,8,1,5,Yes,2024-01-12
5059,10969,BMW 330i,7,1,3,6,Yes,2024-02-11
5060,10866,BMW M440i,4,2,3,6,No,2024-05-17
5061,10617,BMW i7,8,10,9,4,No,2024-05-06
5062,10265,BMW i7,2,8,1,9,Yes,2024-11-14
5063,11000,BMW 530i,5,5,3,5,No,2024-12-01
5064,10991,BMW 330i,4,3,6,1,Yes,2024-12-01
5065,10495,BMW M440i,2,10,9,6,No,2024-08-03
5066,10824,BMW 320i,1,1,4,4,No,2024-11-23
5067,10065,BMW 330i,3,1,9,10,No,2024-07-17
5068,10192,BMW X5,8,1,5,2,No,2024-11-12
5069,10209,BMW 530i,7,1,2,2,No,2024-09-08
5070,10915,BMW 530i,10,5,3,7,Yes,2024-06-28
5071,10012,BMW 530i,4,2,1,3,No,2024-10-25
5072,10034,BMW i7,1,1,2,9,Yes,2024-04-18
5073,10517,BMW 320i,8,6,1,10,Yes,2024-08-02
5074,10638,BMW 530i,8,8,7,2,Yes,2024-05-27
5075,10757,BMW 330i,9,4,8,8,No,2024-07-08
5076,10902,BMW X5,2,10,4,7,Yes,2024-07-27
5077,10415,BMW i7,9,10,1,5,Yes,2024-06-26
5078,10532,BMW 330i,4,6,6,2,No,2024-11-10
5079,10020,BMW X3,1,2,3,5,Yes,2024-12-07
5080,10419,BMW X7,7,6,10,6,Yes,2024-07-29
5081,10775,BMW X3,4,7,9,2,Yes,2024-05-26
5082,10246,BMW X3,1,9,6,8,Yes,2024-07-25
5083,10946,BMW M440i,6,2,2,4,No,2024-11-18
5084,10376,BMW X7,7,2,3,10,Yes,2024-09-09
5085,10197,BMW 330i,3,8,4,2,No,2024-09-02
5086,10568,BMW M440i,4,2,9,4,Yes,2024-02-22
5087,10398,BMW X3,7,5,2,6,No,2024-12-15
5088,10939,BMW X5,6,3,10,8,Yes,2024-06-06
5089,10933,BMW 320i,5,7,7,5,No,2024-02-19
5090,10085,BMW M440i,7,4,1,6,Yes,2024-04-20
5091,10334,BMW 530i,5,4,2,7,No,2024-06-23
5092,10542,BMW M440i,9,4,5,9,Yes,2024-11-25
5093,10219,BMW i7,4,5,5,8,Yes,2024-06-21
5094,10335,BMW X3,4,7,5,6,No,2024-10-14
5095,10774,BMW X7,10,5,5,9,Yes,2024-08-10
5096,10020,BMW M440i,8,9,5,3,Yes,2024-07-07
5097,10980,BMW M440i,10,6,10,5,Yes,2024-01-11
5098,10539,BMW X7,3,2,6,7,Yes,2024-11-16
5099,10387,BMW 530i,4,10,6,5,Yes,2024-05-22
5100,10422,BMW X7,9,1,8,8,Yes,2024-10-14
5101,10095,BMW X5,9,8,3,10,Yes,2024-06-27
5102,10933,BMW i7,9,4,6,3,Yes,2024-04-05
5103,10197,BMW i7,8,3,8,8,Yes,2024-06-18
5104,10159,BMW X5,10,2,10,2,Yes,2024-01-07
5105,10112,BMW X7,7,8,1,8,Yes,2024-01-03
5106,10486,BMW X3,4,4,10,9,No,2024-11-02
5107,10657,BMW 320i,1,4,6,4,Yes,2024-02-12
5108,10131,BMW i7,8,6,9,10,Yes,2024-09-02
5109,10449,BMW X3,5,7,8,9,No,2024-09-21
5110,10660,BMW i7,3,4,10,4,No,2024-03-13
5111,10150,BMW 320i,5,9,5,6,Yes,2024-03-12
5112,10875,BMW i7,4,4,5,10,Yes,2024-10-07
5113,10733,BMW i7,7,5,9,9,No,2024-02-11
5114,10770,BMW X3,8,1,5,8,No,2024-11-15
5115,11000,BMW 330i,9,7,8,5,Yes,2024-11-03
5116,10863,BMW 330i,3,3,9,10,Yes,2024-11-03
5117,10546,BMW 530i,3,7,8,6,No,2024-07-07
5118,10043,BMW 320i,10,8,1,5,No,2024-05-07
5119,10767,BMW X7,9,5,4,2,No,2024-02-04
5120,10710,BMW i7,8,5,5,10,No,2024-11-12
5121,10163,BMW i7,7,6,1,4,No,2024-02-01
5122,10123,BMW X7,3,6,10,6,No,2024-09-05
5123,10521,BMW 330i,4,9,4,8,No,2024-08-07
5124,10371,BMW 530i,9,10,8,1,No,2024-09-10
5125,10018,BMW 530i,2,3,8,6,Yes,2024-05-21
5126,10903,BMW 330i,10,6,1,3,Yes,2024-12-11
5127,10204,BMW 320i,9,5,4,9,Yes,2024-01-31
5128,10899,BMW X5,3,10,2,1,No,2024-07-20
5129,10322,BMW i7,8,3,7,7,No,2024-04-14
5130,10787,BMW 330i,3,2,8,5,Yes,2024-07-15
5131,10235,BMW 530i,8,7,6,1,No,2024-05-24
5132,10878,BMW 330i,8,8,7,6,No,2024-11-30
5133,10607,BMW 320i,1,4,3,7,Yes,2024-08-15
5134,10145,BMW X5,4,10,8,2,No,2024-09-13
5135,10797,BMW X3,3,5,5,5,No,2024-05-03
5136,10948,BMW i7,3,4,1,7,Yes,2024-05-06
5137,10738,BMW 530i,7,1,3,6,No,2024-11-05
5138,10875,BMW X5,2,2,6,10,Yes,2024-06-06
5139,10663,BMW M440i,5,8,10,6,Yes,2024-10-02
5140,10663,BMW X3,5,5,1,1,Yes,2024-09-26
5141,10827,BMW 530i,2,2,6,1,No,2024-04-26
5142,10118,BMW X5,7,1,3,6,Yes,2024-06-19
5143,10027,BMW M440i,4,3,10,9,Yes,2024-01-17
5144,10685,BMW X7,5,10,8,6,Yes,2024-09-07
5145,10216,BMW X5,6,6,6,5,No,2024-02-14
5146,10114,BMW M440i,4,1,5,3,No,2024-09-17
5147,10942,BMW M440i,4,1,6,10,No,2024-08-11
5148,10023,BMW i7,1,4,9,10,No,2024-11-01
5149,10564,BMW X7,4,10,7,3,No,2024-12-30
5150,10607,BMW i7,4,3,3,2,Yes,2024-06-27
5151,10509,BMW X3,10,1,3,9,No,2024-06-27
5152,10048,BMW i7,1,5,1,7,Yes,2024-06-07
5153,10786,BMW X3,1,7,1,3,Yes,2024-03-03
5154,10390,BMW M440i,6,7,1,7,No,2024-03-01
5155,10120,BMW X5,5,10,3,8,No,2024-04-25
5156,10136,BMW X5,5,3,7,9,Yes,2024-04-06
5157,10673,BMW 330i,5,1,4,1,Yes,2024-02-03
5158,10498,BMW i7,4,8,2,9,Yes,2024-01-28
5159,10713,BMW 330i,1,10,10,9,Yes,2024-03-28
5160,10318,BMW 530i,1,1,10,2,Yes,2024-08-17
5161,10624,BMW X3,2,4,2,1,No,2024-01-03
5162,10207,BMW X3,10,5,5,7,No,2024-07-20
5163,10120,BMW 320i,7,5,9,8,No,2024-04-30
5164,10602,BMW i7,8,6,4,9,No,2024-03-16
5165,10649,BMW 330i,10,9,10,3,Yes,2024-02-29
5166,10991,BMW 530i,6,6,6,5,No,2024-02-22
5167,10450,BMW X7,7,4,3,8,No,2024-02-16
5168,10859,BMW X3,8,1,9,7,Yes,2024-06-04
5169,10178,BMW 530i,6,8,5,6,No,2024-08-07
5170,10185,BMW M440i,9,9,6,9,Yes,2024-11-04
5171,10034,BMW X3,8,4,6,6,No,2024-01-21
5172,10108,BMW X3,1,7,10,8,Yes,2024-10-24
5173,10407,BMW X3,6,9,5,8,No,2024-04-05
5174,10293,BMW 330i,4,2,7,7,No,2024-07-09
5175,10003,BMW X7,7,1,1,9,No,2024-08-07
5176,10981,BMW X5,6,6,1,5,Yes,2024-09-16
5177,10131,BMW 320i,2,3,4,7,No,2024-09-07
5178,10488,BMW X7,9,6,7,4,No,2024-11-08
5179,10079,BMW X3,3,10,6,3,Yes,2024-09-13
5180,10034,BMW 530i,8,10,4,4,Yes,2024-11-09
5181,10416,BMW 320i,7,2,3,4,No,2024-07-20
5182,10376,BMW 330i,10,6,3,9,No,2024-06-24
5183,10392,BMW 320i,5,3,4,5,Yes,2024-04-30
5184,10275,BMW M440i,6,4,5,10,No,2024-04-16
5185,10871,BMW X7,4,2,6,2,No,2024-12-08
5186,10833,BMW M440i,10,5,1,6,Yes,2024-05-16
5187,10863,BMW M440i,1,3,5,4,No,2024-02-02
5188,10260,BMW M440i,4,9,8,8,Yes,2024-03-16
5189,10447,BMW 320i,9,2,6,10,No,2024-06-22
5190,10949,BMW 330i,8,3,6,6,No,2024-03-23
5191,10364,BMW M440i,7,4,5,9,No,2024-10-30
5192,10794,BMW M440i,4,8,9,10,Yes,2024-05-25
5193,10271,BMW M440i,6,8,5,1,No,2024-08-28
5194,10856,BMW 330i,2,4,2,2,No,2024-07-13
5195,10606,BMW i7,4,7,10,3,No,2024-12-13
5196,10254,BMW M440i,3,2,6,6,Yes,2024-08-07
5197,10846,BMW X7,4,3,8,2,Yes,2024-06-16
5198,10368,BMW i7,3,4,2,2,No,2024-07-25
5199,10049,BMW i7,10,1,6,3,Yes,2024-07-17
5200,10813,BMW X5,1,1,10,3,No,2024-10-06
5201,10577,BMW i7,10,4,9,4,No,2024-06-16
5202,10919,BMW 530i,7,7,10,3,No,2024-11-30
5203,10329,BMW M440i,1,7,4,2,Yes,2024-05-25
5204,10152,BMW M440i,7,5,10,8,No,2024-06-10
5205,10130,BMW X5,1,6,4,6,Yes,2024-04-16
5206,10621,BMW i7,7,1,6,7,No,2024-06-03
5207,10079,BMW X3,2,10,9,7,No,2024-08-28
5208,10600,BMW M440i,3,4,5,1,Yes,2024-10-20
5209,10394,BMW X7,2,10,6,8,No,2024-02-21
5210,10015,BMW X3,9,6,8,8,Yes,2024-02-20
5211,10826,BMW 320i,5,10,10,2,No,2024-04-15
5212,10013,BMW 330i,7,3,8,9,No,2024-06-05
5213,10952,BMW X7,5,3,3,7,Yes,2024-11-20
5214,10044,BMW X7,6,6,9,1,No,2024-06-02
5215,10237,BMW X5,5,6,6,1,Yes,2024-08-07
5216,10038,BMW X7,9,6,6,1,Yes,2024-09-28
5217,10244,BMW M440i,2,1,3,3,Yes,2024-07-27
5218,10951,BMW X5,1,4,6,1,Yes,2024-08-05
5219,10871,BMW 530i,4,6,7,4,No,2024-01-27
5220,10089,BMW 320i,9,10,6,2,No,2024-06-28
5221,10809,BMW 530i,6,2,1,5,No,2024-01-10
5222,10138,BMW 330i,10,9,8,3,Yes,2024-03-08
5223,10184,BMW 530i,10,2,7,4,No,2024-11-04
5224,10866,BMW 330i,2,9,10,2,No,2024-12-09
5225,10497,BMW 320i,4,2,1,9,Yes,2024-10-28
5226,10046,BMW X7,1,2,8,5,Yes,2024-08-18
5227,10950,BMW X5,1,6,7,4,No,2024-11-23
5228,10215,BMW i7,2,6,6,7,No,2024-09-21
5229,10264,BMW X7,3,3,8,2,Yes,2024-01-31
5230,10614,BMW 530i,3,3,10,2,No,2024-02-01
5231,10457,BMW M440i,8,10,3,7,Yes,2024-03-14
5232,10818,BMW X3,6,5,9,10,No,2024-05-27
5233,10078,BMW X5,8,8,3,1,No,2024-08-29
5234,10051,BMW i7,3,7,10,10,Yes,2024-11-06
5235,10375,BMW i7,10,5,10,9,Yes,2024-11-07
5236,10294,BMW X7,1,6,4,4,No,2024-08-08
5237,10171,BMW X7,4,5,5,5,No,2024-03-05
5238,10318,BMW 330i,8,3,2,9,Yes,2024-02-14
5239,10658,BMW i7,9,10,9,9,No,2024-08-15
5240,10810,BMW 530i,6,3,9,3,No,2024-12-25
5241,10854,BMW i7,7,3,8,10,Yes,2024-07-11
5242,10477,BMW 330i,8,9,10,6,Yes,2024-04-07
5243,10459,BMW 320i,6,8,9,9,No,2024-06-20
5244,10954,BMW i7,3,3,2,1,No,2024-12-21
5245,10850,BMW X7,2,5,4,1,Yes,2024-09-27
5246,10121,BMW X7,4,5,7,2,No,2024-11-26
5247,10096,BMW 330i,10,5,2,2,No,2024-03-08
5248,10640,BMW X5,8,6,10,8,No,2024-08-08
